name,content
손상 부위 출혈,손상 부위 출혈 팔 다리   외상이나 골절 등의 원인으로 인해 손상이 있는 부위에서 발생한 출혈
손상부위 촉각 소실,손상부위 촉각 소실 팔 다리   손생된 부위에 신경이 손상되어 만지는 느낌이 없음
어깨 움직임의 제한,어깨 움직임의 제한 팔    어깨 관절의 움직임에 제한이 있음
어깨 잡음,어깨 잡음 팔    어깨 관절에서 나는 비정상적인 소리
어깨근육 약화,어깨근육 약화 팔    어깨 근육 질환에 의해 어깨 근육의 힘이 약해짐
어깨의 통증,어깨의 통증 팔    어깨 부위에서 느껴지는 통증
옷 액와 부분 변색,옷 액와 부분 변색 팔    빈칸
저림,저림 팔 다리   어떠한 원인으로 인해 혈액순환이 정체되거나 신경에 장애가 발생하여 찌르는 듯하고 둔한 느낌
파열부위 오목해짐,"파열부위 오목해짐 팔 다리   혈관, 조직 등이 찢어지면서 그 부위가 움푹 파임"
팔의 길이가 달라짐,팔의 길이가 달라짐 팔    팔을 앞으로 뻗었을 때 손가락 끝의 길이가 다름
팔의 통증,"팔의 통증 팔    팔, 팔목, 팔꿈치  부위에서 느껴지는 통증"
편마비,"편마비 팔 다리   한쪽 팔, 다리의 마비"
편측 사지의 감각소실,"편측 사지의 감각소실 팔 다리   한쪽 팔, 다리의 감각이 사라짐"
각막 위로 결막 침범,각막 위로 결막 침범 눈    눈의 각막(검은부분) 위로 결막(흰부분)이 침범한 상태
각막 이상,"각막 이상 눈    각막에 건강 문제가 생겨 혼탁해지거나 흉터, 염증 등의 증상이 나타나는 것 "
결막염,결막염 눈    눈(안구)을 감싸고 있는 안구와 안검을 결합하는 점막조직인 결막에 생긴 염증
광과민성,"광과민성 눈    햇빛 알레르기라고도 하며, 햇빛에 대한 면역 반응이 일어나 태양에 노출된 부분이 가렵거나 붉게 일어남"
광시증,광시증 눈    눈을 감거나 어두운 곳에서 번쩍거리고 시야가 흐린 증상
근시,근시 눈    먼 곳을 바라볼 때 물체의 상이 잘 안 보이고 가까운 곳이 잘 보이는 눈의 상태
글자가 휘어져보임,글자가 휘어져보임 눈    눈의 구조물에 생긴 이상으로 글씨가 휜것 처럼 보이는 상태
넓은 미간,넓은 미간 눈    좌우 눈 사이의 간격이 넓음
눈 감을 때 번쩍거림,눈 감을 때 번쩍거림 눈    눈 감을 때 전기불이 깜박이는 것처럼 번쩍거림
눈 사이가 멀어보임,"눈 사이가 멀어보임 눈    좌, 우 눈 사이 간격이 넓어 보임"
눈 주변 부종,눈 주변 부종 눈    눈 주변 부위가 부어있는 상태
눈 주위 노란 반점,눈 주위 노란 반점 눈    눈 주위 노랗게 생긴 얼룩얼룩한 점
눈가 및 이마 주름,눈가 및 이마 주름 눈    피부 아래 콜라겐의 감소로 피부에 줄이 생김
눈꺼풀 처짐증,눈꺼풀 처짐증 눈    눈꺼풀을 들어올리는 근육에 이상이 있어 눈꺼풀이 잘 올려지지 않는 상태
눈꺼풀의 떨림,눈꺼풀의 떨림 눈    눈주위의 근육이 발작적으로 경련을 일으켜 떨리는 증상
눈꼽,눈꼽 눈    눈에서 나오는 진득한 액이 말라붙은 것
눈물흘림,눈물흘림 눈    눈물이 비정상적으로 많이 나는 상태
눈부심,눈부심 눈    밝은 빛을 잘 보지 못하는 증상
눈비빔,눈비빔 눈    눈의 이물감이나 자극으로 반복적으로 눈을 비비는 상태
눈운동신경마비,눈운동신경마비 눈    눈의 운동을  주관하는 신경이 기능을 하지 못하는 상태
눈의 자극감,눈의 자극감 눈    눈에 이물이 들어간 것 같은 느낌
눈의 충혈,눈의 충혈 눈    눈의 구조물 중 하얗게 보이는 공막에 가느다란 핏줄이 불거져 빨갛게 보이는 상태
눈의 통증,눈의 통증 눈    눈 또는 눈 주변에 생긴 통증
눈의 피로,눈의 피로 눈    눈이 시리거나 아프고 사물이 흐릿하게 보이고 때때로 붉게 충혈이 되고 뻑뻑한 느낌
눈이 무거운 느낌,눈이 무거운 느낌 눈    눈이 피곤하고 묵직해진 느낌
느린 동공반응,느린 동공반응 눈    동공은 빛에 반응하여 반사적으로 빠르게 작아지거나 커지는데 어떠한 원인에 반사 작용이 느려지는 상태 
대비감 감소,대비감 감소 눈    서로 다른 것을 나란히 놓았을 때 그 차이를 구별하는 능력이 감소함
동공산대,동공산대 눈    동공의 지름이 4mm 이상으로 커지는 상태
동공이 흰빛으로 반짝임,동공이 흰빛으로 반짝임 눈    눈에 빛을 비출 시 동공이 하얗게 반짝이듯 보임
망막 이상,망막 이상 눈    눈의 구조물 중 필름 역할을 하는 망막에 이상이 있는 상태
복시,복시 눈    사물이 두개로 보임
부유물이 보임,부유물이 보임 눈    공기 중에 점이나 먼지같은 것이 떠다니는 것처럼 보임
비문증,비문증 눈    먼지나 벌레 같은 것이 떠다니는 것 같은 증상
사물이 두개로 보임,사물이 두개로 보임 눈    하나의 사물이 두개로 보임
사물이 찌그러져 보임,사물이 찌그러져 보임 눈    망막에 생긴 이상으로 사물이 형태가 찌그러진 것처럼 보이는 것
사시,사시 눈    두 눈이 똑바로 정렬되어 있지 않은 상태
색깔이 퇴색해보임,색깔이 퇴색해보임 눈    눈에 생긴 이상으로 사물의 색이 원래보다 흐리게 보이는 것
색맹,색맹 눈    색조의 식별 능력이 없는 상태
수정체 이상,수정체 이상 눈    수정체는 빛을 굴절시키는 역할을 하는 눈 내부의 기관으로 조절 능력이 감소하거나 정상 위치를 벗어나는 등의 이상이 생긴 것
시력 감소,시력 감소 눈    빈칸
시신경염,시신경염 눈    시신경 신경섬유에 염증이 발생하여 물체가 흐리게 보이는 것
시야장애,시야장애 눈    한 지점을 볼 때 눈을 움직이지 않고 볼 수 있는 시력 범위
실명,실명 눈    시력을 잃어 앞을 못 보게 됨
아래 눈꺼풀이 불룩함,아래 눈꺼풀이 불룩함 눈    눈 아래쪽 눈꺼풀의 탄력성이 감소하여 늘어져 불룩하게 보임
안검내반,"안검내반 눈    눈꺼풀의 가장자리가 안쪽, 즉 눈으로 말려들어가 속눈썹이 각막과 접촉함으로써 지속적으로 자극을 주는 현상"
안검하수,안검하수 눈    윗눈꺼풀을 올렸다 내렸다 하는 윗눈꺼풀 올림근의 힘이 약해서 윗눈꺼풀이 아래로 처지는 상태
안구 이상,안구 이상 눈    안구 마비로 안구 운동 및 시각에 장애가 있음
안구건조,"안구건조 눈    눈 구조물의 염증, 외상, 노화 등의 원인에 의해 눈물의 분비가 줄어들거나 눈물의 성분에 변화가 생겨 눈이 건조하게 느껴지는 증세"
안구내 출혈,안구내 출혈 눈    눈 안쪽의 혈관이 터져 혈액이 유출된 상태
안구돌출,안구돌출 눈    눈이 앞쪽으로 튀어나옴
안구증대,안구증대 눈    눈알의 크기가 커진 상태
안구진탕,안구진탕 눈    자신의 의지와 상관없이 눈이 빠르게 움직이는 상태
안구혼탁,안구혼탁 눈    빈칸
암점,암점 눈    시신경 유두부는 생리적으로 빛 감지가 안되는 맹점이나 그외의 부위에 이상이 있어 시야 안에 보이지 않는 부위가 있는 상태
앞이 뿌옇게 보임,앞이 뿌옇게 보임 눈    안개가 낀 것 처럼 보임
야맹,야맹 눈    밝은 곳에서 어두운 곳으로 들어갈 때 적응을 하지 못하거나 희미한 불빛 아래 또는 어두운 곳에서 사물을 분간하기 어려운 증상
약시,약시 눈    시력이 약한 상태
양안 상 시각 차이,"양안 상 시각 차이 눈    좌, 우 눈의 시각에 차이가 있음"
왜곡,왜곡 눈    눈에 생긴 이상으로 실제와 다르게 인식되거나 그릇되게 받아들임
유두부종,유두부종 눈    초점을 맞춘 부위가 아닌 주변 시야를 보는 시력의 손상
주변시야손상,주변시야손상 눈    초점을 맞춘 부위가 아닌 주변 시야를 보는 시력의 손상
중심시력감소,중심시력감소 눈    물체에 초점을 맞춰 상세한 부분을 보는 중심시력이 감소함
증상의 일중변동,증상의 일중변동 눈    빈칸
침침함,침침함 눈    사물이 똑똑히 보이지 않고 흐릿함
터널시야,터널시야 눈    터널 입구에서 사물을 바라보는 것처럼 시야가 제한되어 있음
홍채가 흔들거림,홍채가 흔들거림 눈    홍채는 각막과 수정체 사이에서 동공의 크기를 조절하는 눈 조직의 하나로 수정체가 이동하면서 움직여 흔들리는 것처럼 보임
황달,황달 눈 피부   혈액 중에 빌리루빈 양이 증가하여 피부 및 점막 내 담즙의 축적으로 피부가 황색을 띄게 되는 병적 상태
황반부종,황반부종 눈    망막의 한 부분인 황반이 두꺼워지고 붓는 현상
고막 충혈,고막 충혈 귀    귀 안쪽 고막에 혈액이 몰려 붉게 보이는 상태
고막에 수포형성,고막에 수포형성 귀    고막에 생긴 물집
귀 모양의 변형,귀 모양의 변형 귀    정상적인 귀에 비해 위치가 다르거나 모양이 다름
귀 상부가 두피에 매몰됨,귀 상부가 두피에 매몰됨 귀    귀 위쪽의 구조가 없음
귀에서 냄새가 남,귀에서 냄새가 남 귀    귀에서 악취가 남
귀의 통증,귀의 통증 귀    귀와 귀 주변에서 느껴지는 통증
동상,동상 귀 코 손 발 동상이 생겼어요
이명,이명 귀    외부로부터의 소리 자극이 없는데도 불구하고 귓속 또는 머릿속에서 소리를 느끼는 현상
이폐색감,이폐색감 귀    귀의 통로가 막힌 듯한 느낌
중이염소견,"중이염소견 귀    귀의 고막 안의 공간을 중이(중간귀)라고 하는데, 이곳에 만성적인 염증이 생겨 진물과 고름이 나오고 좋지 않은 냄새가 나는 등의 증세"
청각과민,청각과민 귀    청각이 지나치게 예민함
청력장애,청력장애 귀    듣는 것에 문제가 있음
펴진 귓바퀴,펴진 귓바퀴 귀    귓바퀴 끝이 편평하게 펴짐
비출혈,"비출혈 코    외상이나 자극, 출혈 경향성의 증가에 의해 코에서 피가 나는 상태"
재채기,재채기 코 입   강한 냄새나 먼지 등과 같은 자극원에 의해 코 점막이 이러한 자극물질을 배출하려고 하는 반사 운동
코가 삐뚤어짐,코가 삐뚤어짐 코    코의 모양이 바르지 못하고 한쪽으로 기울어지거나 쏠린 모양
코골이,코골이 코    수면 중 호흡시 공기가 코에서 인두를 지나며 연조직들을 진동시켜 나는 소리
코막힘,코막힘 코    콧구멍에서 인두까지 기도의 일부가 병적인 원인이나 이물에 의해 막히는 현상
코의 기형 동반,코의 기형 동반 코    다른 부위에 기형과 함께 코의 기형이 함께 나타남
코의 모공이 커짐,코의 모공이 커짐 코    코에 모공의 크기가 커져 까맣게 점처럼 보임
코점막건조,코점막건조 코    코 안을 덮고 있는 부드럽고 끈끈한 막이 물기가 말라 습기가 없는 상태
콧물,콧물 코    콧구멍에서 흘러나오는 액체
화농성 비루,화농성 비루 코 코   고름 형태의 콧물
후각 감소,후각 감소 코    냄새를 감지하는 감각이 감소함
후각장애,후각장애 코    후각에 생긴 이상
후비루,후비루 코    코 점막 분비물이 인후를 통해 넘어가는 증상
갈증,갈증 입    목이나 입마름 증상
개 폐구 장애,개 폐구 장애 입    입을 열고 닫는데 문제가 있음
관절잡음,"관절잡음 입 다리   관절의 움직임 시 ""딱"" 하는 소리가 남"
구각염,구각염 입    입꼬리 부분에 생긴 염증
구강건조,구강건조 입    침의 분비가 감소하여 입안의 점막이나 혀가 말라있는 상태
구강궤양,구강궤양 입    입 안이 헐어 패이거나 흰 반점이 생긴 상태
구강호흡,구강호흡 입    코가 막히거나 기타 다른 이유로 코로 숨쉬지 않고 입으로 숨을 쉬는 것
구내염,구내염 입    혀를 포함하여 구강 내벽에 생기는 염증
구취,구취 입    타인에게 불쾌감을 주는 나쁜 입냄새
누공,누공 입    여러가지 원인에 의해 뼛속에 구멍이 생겨 뼈의 양이 줄어들고 얇아져 매우 약해진 상태 
딸기혀,딸기혀 입    혀에 덮인 설태가 벗겨져 붉은 색을 띠고 유두가 부어 올라 딸기모양이 된 혀
미각상실,미각상실 입    맛을 느끼는 감각이 없어짐
미각이상,미각이상 입    맛을 느끼는 감각에 생긴 이상
발음 이상,"발음 이상 입    발음에 관여하는 입술, 혀, 치아 등에 이상이 있어 정확하지 않은 소리를 내는 것"
부정교합,부정교합 입    치아의 배열이 가지런하지 않거나 입을 다물었을 때 위 아래 턱의 치아가 서로 맞물리지 않는 상태
설염,설염 입    혀에 생긴 염증
수유 곤란,수유 곤란 입    엄마의 유방 문제나 아기의 구강 문제로 수유하기 어려운 상태를 말함
신생아-백색의 결절,신생아-백색의 결절 입    피부 밑에 비정상적인 조직이 강낭콩 크기 정도로 솟아난 것
안면부 열상,안면부 열상 입    안면부가 찢어진 상태
음식섭취 거부,음식섭취 거부 입    음식 먹는 것을 싫어하거나 잘 먹지 않으려고 하는 것
이가 시림,"이가 시림 입    양치 시, 찬물을 먹거나 음식물 섭취 중 이가 시린 느낌이 남"
입 주변 부종,"입 주변 부종 입    잇몸, 입술 등 입 주변이 부은 상태 "
입술 갈라짐,입술 갈라짐 입    입술 피부가 건조해지거나 염증 등에 의해 갈라져 있는 상태
"입술, 입천장의 기형","입술, 입천장의 기형 입    선천적으로 입술이나 입천장이 갈라진 상태"
잇몸 위축,잇몸 위축 입    잇몸의 크기나 기능이 줄어듬
잇몸염증,잇몸염증 입    잇몸에 염증이 있는 상태
작열감,작열감 입 피부 생식기  피부나 점막의 화끈거리거나 타는 듯한 느낌
저작장애,저작장애 입    음식물을 씹는데 문제가 있음
치근단 부위 부종,치근단 부위 부종 입    치아 뿌리끝 부분의 부종
치아 벌어짐,치아 벌어짐 입    이와 이 사이 간격이 넓어짐
치아 통증,치아 통증 입    치아 또는 잇몸이 아픈 느낌
치아 흔들림,치아 흔들림 입    이가 흔들림
치아가 솟은 느낌,치아가 솟은 느낌 입    잇몸이 아래쪽으로 내려가 치아가 위로 올라온 것 처럼 느껴지는 것
치아발달장애,치아발달장애 입    치아 형성 시기에 법랑질 모세포의 손상으로 정상적인 치아발육이 되지 않는 상태
치아의 탈락,치아의 탈락 입    치아가 빠짐
치주낭형성,"치주낭형성 입    잇몸과 치아, 그 주위 조직에 혹주머니가 생김"
침 분비 증가,침 분비 증가 입    병적 원인에 의해 침이 식도로 넘어가지 못하고 입으로 배출됨
코플릭 반점,코플릭 반점 입    볼 안쪽이나 잇몸에 생긴 붉은 테를 두른 흰 반점상의 궤양
타진과 촉진에 예민,타진과 촉진에 예민 입    만지거나 두드렸을 때 아프거나 불편한 느낌이 잘 느껴짐
하얀 반점,하얀 반점 입 피부   점막이나 피부에 나타나는 흰색의 반점
한쪽 입 꼬리의 상승,한쪽 입 꼬리의 상승 입    입의 한쪽 끝이 자신의 의지와 상관없이 올라간 상태
혀끝이 w모양,혀끝이 w모양 입    혀끝의 모양이 W 모양을 띰
혀의 통증,혀의 통증 입    혀에서 느껴지는 통증
PSA상승,PSA상승 전신    전립선에서만 생성되는 단백질인 PSA(전립선특이항원)가 여러가지 원인에 의해 상승된 상태
감각 과민,감각 과민 전신    자극에 대한 감각이 증가함
감각 이상,감각 이상 전신    신경전달로의 이상으로 감각이 저하되거나 이상감각이 느껴지는 증상
감기 증상,"감기 증상 전신    콧물, 코막힘, 고열, 연하곤란, 호흡곤란, 인후통, 편도염 등의 상기도 감염 증상"
감전이 됐어요,감전이 됐어요 전신 손   감전이 됐어요
갱년기 증상,"갱년기 증상 전신    갱년기 여성에게 호르몬 변화로 인해 발생하는 신체, 정신적 이상 증상 "
거인증,"거인증 전신    뇌하수체에서 어떤 원인에 의해 성장호르몬이 과도하게 생성되어 발생되는 뼈, 연골, 섬유조직 등의 과도한 성장 "
격동적 움직임,격동적 움직임 전신    자신의 의지와 상관없이 전신 또는 신체 일부가 격하게 움직이는 증상
경련,경련 전신    자신의 의지와 상관없이 전신 또는 신체 일부가 마비되거나 떨리는 증상
경직,경직 전신    몸이 뻣뻣하게 굳음
고탄산증,고탄산증 전신    혈액에 탄산 수치가 상승되어 있음
고혈당,"고혈당 전신    고혈당이란 혈당치가 비정상적으로 높은 상태를 말합니다. 생리적 고혈당은 식사 후 일시적으로 일어나는 자연적인 현상이나, 생리적 현상으로 허용되는 범위 외의 혈당치의 증가는 당뇨병이 있거나 당뇨병으로의 진행 가능성 혹은 당뇨병의 미 발견 상태에 해당될 수 있습니다. 흔히 건강검진 등을 통해 발견되는 고혈당 중, 공복 혈당이 126mg/dL을 넘는 경우에는 일반적으로 당뇨병에 준한 검사 및 치료 등을 받아야합니다."
고혈압,고혈압 전신    여러가지 원인에 의해 혈압이 높아진 상태
골다공증,골다공증 전신    여러가지 원인에 의해 뼛속에 구멍이 생겨 뼈의 양이 줄어들고 얇아져 매우 약해진 상태 
골수 내 적혈구의 감소,골수 내 적혈구의 감소 전신    골수 검사 시 골수 안의 적혈구 숫자가 정상보다 적음
골절,골절 전신    뼈가 부러지거나 금이 간 상태
골절부 근육의 경직,골절부 근육의 경직 전신    빈칸
관련 장기의 일시적 기능장애,관련 장기의 일시적 기능장애 전신    색전이 침범한 환부 인근 장기에 혈액공급이 중단 또는 부족하여 허혈상태에 빠져 제기능을 하지 못하는 상태
관절 구축,관절 구축 전신    오랫동안 움직이지 않아 정상적인 관절가동범위에 제한이 있는 것
구루병,구루병 전신    칼슘과 인의 대사장애로 인해 뼈의 발육에 장애가 발생하는 것
권태감,권태감 전신    몸이 나른한 느낌
근골격계 이상,근골격계 이상 전신    근육과 뼈에 생긴 이상 증상
근긴장의 이상,근긴장의 이상 전신    정상 근육 긴장도에 비해 감소하거나 증가한 이상 상태 
근력 약화,근력 약화 전신    근육의 힘이 감소하거나 약해진 상태
근위축,근위축 전신    오랫동안 사용하지 않거나 병적인 변성으로 근육 섬유의 수가 감소하여 근육의 크기가 줄어든 상태
근육강직,근육강직 전신    근육이 딱딱하게 굳어지는 느낌이나 상태
근육경련,근육경련 전신    순간적으로 여러 근육이 수축하거나 떨리는 상태
근육긴장,근육긴장 전신    근육이 수축하여 단단히 뭉쳐있는 상태
근육마비,근육마비 전신    근육에 감각이 없는 것 
근육의 뒤틀림,근육의 뒤틀림 전신    근육이 틀어져 아프거나 경련이 나타나는 상태
근육통,근육통 전신    근육에 생기거나 느껴지는 통증
금단증상,"금단증상 전신    지속적으로 사용하던 물질(알코올, 니코틴 등)을 갑자기 중단하거나 양을 줄일 경우 발생하는 생리적, 심리적 이상 증상 "
기립성 저혈압,기립성 저혈압 전신    앉거나 누웠다가 일어설 때 혈압 조절이 잘 이루어지지 않아 혈압이 내려가는 상태
기운없음,기운없음 전신    쇠약하여 일을 감당할 수 있는 에너지와 힘이 없음
낙상,낙상 전신    미끄러지거나 위에서 아래로 떨어지는 등의 급격한 체위 이동으로 인해 신체에 상해를 입는 일
남: 9세 전 2차 성징,남: 9세 전 2차 성징 전신    9세 이전에 고환이나 성기가 커지는 등의 2차 성징이 나타남
농약을 먹었어요,농약을 먹었어요 전신    농약을 먹었어요
뇌전증 발작,뇌전증 발작 전신    뇌 신경세포의 과도한 흥분으로 인해 나타나는 뇌기능의 일시적 마비 증상
다른 선천성 기형,다른 선천성 기형 전신    진단된 기형 외 선천적으로 가지고 있는 기형
다발성 장기부전 증상,다발성 장기부전 증상 전신    여러가지 장기의 기능이 제 기능을 하지 못하여 나타나는 증상
다식,다식 전신    비정상적으로 음식을 많이 먹음
다음,다음 전신    비정상적으로 물이나 음료 등을 많이 마심
당뇨,당뇨 전신    혈관 속에 포도당이 과다하게 증가하여 소변으로 포도당이 배출되는 것
대사성 산증,대사성 산증 전신    어떤 원인(대사와 관련된 원인)에 의해 혈액 속 수소 농도가 7.35 미만인 경우
더위를 못 견딤,더위를 못 견딤 전신    더위를 참치 못하고 예민해짐
독버섯,"독버섯 전신    독버섯도 종류에 따라 여러 가지 임상양상을 보이며 오심, 구토, 설사 등의 소화기 증상 및 어지럼증 현훈과 같은 신경계 증상도 발생하며 때로는 다발성 장기부전을 일으켜 사망에 이르기도 합니다. "
독초 섭취,독초 섭취 전신    독초에 의한 중독은 주로 독초를 식용나물로 오인하고 먹었을 때 발생하게 됩니다. 
돌연사,돌연사 전신    갑작스런 죽음
동맥경화,동맥경화 전신    혈관벽 내부에 콜레스테롤 등이 쌓여 혈관 직경이 좁아진 상태
동물에게 물렸어요,동물에게 물렸어요 전신    동물에게 물렸어요
동작의 완만,동작의 완만 전신    천천히 움직임
땀이 잘 나지 않음,땀이 잘 나지 않음 전신    비정상적으로 땀이 나지 않음
떨림(진전),떨림(진전) 전신    여러가지 원인에 의해 몸이 떨리는 상태
림프 부종,림프 부종 전신    림프관에 문제가 생겨 피하 조직에 림프액이 고여 단단해지고 부어있는 상태
림프절 농양,림프절 농양 전신    이물질을 처리하는 면역기관인 림프절에 고름이 고여 덩어리를 이룬 것
마비,마비 전신    신경이나 근육에 감각이 없거나 움직일 수 없는 상태
마찰음,마찰음 전신    움직임 시 스치는 듯한 소리가 남
말초 통증,"말초 통증 전신    손, 발 등의 말초 부위에서 느껴지는 통증"
면역기능 이상,면역기능 이상 전신    신체에 들어 온 항원에 대항하여 항체를 생성하고 인체를 방어하는 기능에 이상이 생긴 상태
몸살,몸살 전신    몸이 쑤시거나 나른하며 기운이 없고 오한이 나는 상태
몽유병,몽유병 전신    잠에서 불완전하게 깨어 걸어 다니는 일이 반복되는 상태
무도증,무도증 전신    자신의 의지와 상관없이 신체가 움직이는 증상
무산소 발작,무산소 발작 전신    저산소증이나 혈액공급보다 산소요구량이 많을 때 청색증이 발생하며 의식을 잃는 실신 발작
물에 빠졌어요,물에 빠졌어요 전신    물에 빠졌어요
민첩성 감소,"민첩성 감소 전신    자극에 대하여 빠르게 반응하거나, 신체의 위치를 재빨리 바꾸거나, 방향전환을 빠르게 하는 능력이 줄어듬"
반복적인 동작,반복적인 동작 전신    자신의 의지와 상관없이 신체가 동일한 행동을 하는 증상
반사 이상,반사 이상 전신    자극에 대하여 일정한 반응을 보이는 행동에 이상이 생김
발육부전,발육부전 전신    어떠한 원인에 의해 성장속도가 평균에 미치지 못하는 상태
발작적인 울음,발작적인 울음 전신    병적으로 갑자기 세차게 발생하는 울음
발한,발한 전신    체온이 높아졌을 때 땀으로 수분을 배출해 체열을 발산시켜 체온조절을 하거나 정신적 긴장 시 땀이 나는 현상
백혈구 증가,백혈구 증가 전신    혈액 검사 시 백혈구 수치가 높음
뱀에 물렸어요,뱀에 물렸어요 전신    뱀에 물렸어요
벌에 쏘였어요,벌에 쏘였어요 전신    벌에 쏘였어요
병적골절,병적골절 전신    뼛속에 생긴 병으로 인해 뼈가 약해져서 아주 약한 힘이 주어져도 골절이 생기는 것
보챔,보챔 전신    아프거나 졸릴 때 울거나 칭얼거리는 것
빈혈,빈혈 전신    혈액 속에 헤모글로빈 농도가 감소한 상태로 혈액의 산소 운반 기능이 떨어져 얼굴이 창백해지고 쉽게 피로감을 느끼는 것
뼈 전이,뼈 전이 전신    종양이 원발부위에서 벗어나 뼈로 옮겨 감
뼈의 통증,뼈의 통증 전신    건강문제가 발생한 부위의 뼈에서 느껴지는 통증
사망,사망 전신    죽음
사춘기 지연,"사춘기 지연 전신    여아 12세, 남아 14세가 지나도 유방 혹은 고환이 발달하지 않거나 성적 성숙이 진행되지 않는 상태 "
산혈증,산혈증 전신    혈액의 pH가 7.4 이하로 떨어져 산성 상태를 보이는 것
상동적 행동,상동적 행동 전신    의미를 가지지 않는 이상한 행동을 반복적으로 되풀이하는 신체 행동
서동,서동 전신    천천히 움직이는 양상
성선 기능 저하증,성선 기능 저하증 전신    성선자극호르몬의 분비가 감소되거나 성선호르몬의 분비가 감소되어 나타나는 증세
성조숙증,성조숙증 전신    2차 성징의 징후들이 정상적인 시기보다 빨리 나타나는 것
소인증,소인증 전신    키가 작음
손상 부위 통증,손상 부위 통증 전신    외상이나 골절 등의 원인으로 인해 손상이 있는 부위에서 느껴지는 통증
쇼크,"쇼크 전신    순환혈액량 감소나 말초혈관의 확장, 심장 이상, 신경성, 아나필락시스 등의 원인에 의해 조직에 저산소증을 일으켜 탄산가스나 유산 등의 대사산물의 축적을 일으킨 상태"
수면 마비,수면 마비 전신    수면 주기 중 REM 수면 시 근육 마비로 인해 잠들기 직전이나 아침에 일어났을 때 움직이지 못하는 현상
수면 시 땀,수면 시 땀 전신    잠을 자면서 땀이 많이 남
수면 후에도 피로함,수면 후에도 피로함 전신    수면 이후에도 피로가 풀리지 않고 계속 피곤한 상태
수포음,수포음 전신    건강 문제가 있는 부위에서 나는 거품 소리
술에 너무 많이 취했어요,술에 너무 많이 취했어요 전신    술에 너무 많이 취했어요
신경 마비,"신경 마비 전신    여러가지 원인에 의해 뇌, 척수, 말초신경, 근육 등의 신경조직에 생긴 운동마비, 지각장애, 보행장애, 경련, 복시, 의식장애, 통증 등의 이상 증상"
신경과민,"신경과민 전신    심신의 과로나 지속적인 스트레스에 대해 과민하게 반응하여 초조해지기 쉽고, 피로해지기 쉬운 상태"
신부전,신부전 전신    신장이 혈액에서 노폐물을 제거하고 몸 안의 수분량과 전해질 농도를 적절하게 유지하는 기능을 상실한 상태
신장 감소,신장 감소 전신    키가 줄어듦
신장 발육부전,신장 발육부전 전신    신장이 정상보다 크기가 작음
신증후군,신증후군 전신    소변에서 배설되는 단백질의 양이 성인 기준으로 하루 3.5g 이상이며 혈중 알부민 농도가 3.0g/dl 이하이고 부종을 나타내는 것을 특징으로 하는 신사구체 질환
실신,실신 전신    뇌의 혈액순환 문제 또는 중추신경 이상으로 인해 일시적으로 의식을 잃는 상태
심부정맥혈전증,심부정맥혈전증 전신    많은 양의 피가 지나가는 심부정맥이 피떡으로 막힌 상태
심혈관계 증상,"심혈관계 증상 전신    가슴 중앙의 통증이나 불편감, 어지러운 느낌 등 심장과 혈관의 이상 증상"
아나필락시스,아나필락시스 전신    특정물질에 대해 몸에서 과민반응을 일으키는 것으로 극소량만 접촉해도 전신에 걸쳐 증상이 발생하는 심각한 알레르기 반응
악성종양발생,악성종양발생 전신    악성 종양이 여러부위에 발생함
약을 많이 먹었어요,약을 많이 먹었어요 전신    약을 많이 먹었어요
에너지가 적음,에너지가 적음 전신    어떤 일을 하고자 하는 의지가 적음
여: 8세 전 2차 성징,여: 8세 전 2차 성징 전신    8세 이전에 유방이 발달하거나 월경을 시작하는 등의 2차 성징이 나타남
연속동작의 느림,연속동작의 느림 전신    하나의 동작에서 다음의 동작으로 연결하는데 시간이 오래 걸림
연탄가스를 마셨어요,연탄가스를 마셨어요 전신    연탄가스를 마셨어요
열,열 전신    정상 체온 범위를 벗어나 비정상적으로 높은 체온
열감,열감 전신    건강 문제가 있는 부위에서 느껴지는 따뜻한 느낌
영양 불량,영양 불량 전신    영양 섭취 혹은 흡수가 부족하여 영양결핍이 온 상태
오한,오한 전신    세균감염이나 질환 시 고열이 나면서 의지와 상관이 없이 근육이 떨리거나 수축하는 상태
온몸의 잔털,온몸의 잔털 전신    호르몬 분비 이상으로 몸에 털이 많아지거나 굵어짐
온몸이 떨림,온몸이 떨림 전신    온몸이 떨리는 증세
요독증,요독증 전신    여러가지 원인에 의해 신장(콩팥)의 기능이 감소하면서 체내에 쌓인 노폐물들이 배설되지 못해 나타나는 증세
운동장애,"운동장애 전신    근긴장 이상, 실행, 실조, 근력 이상, 마비 등의 다양한 원인에 의해 발생된 운동기능의 장애"
이상지질혈증,이상지질혈증 전신    혈액 중에 지질 또는 지방성분이 과다하게 많이 함유되어 있는 상태
이완성 마비,이완성 마비 전신    근육의 긴장도가 약화되거나 상실되면서 나타나는 마비증상
일사병과 열사병,일사병과 열사병 전신    일사병과 열사병
자세 불안정,자세 불안정 전신    자세가 안정성이 없거나 안정되지 못한 상태
자율신경장애,"자율신경장애 전신    혈관이나 장기 벽을 이루는 민무늬근, 심장 근육, 샘에 분포하여 수축과 분비를 조절하는 신경에 이상이 생긴 것"
잦은 감염,"잦은 감염 전신    균(박테리아)이나 바이러스,기생충 등이 인체로 들어와 건강문제를 일으키는 것"
저산소증,저산소증 전신    동맥혈 산소 함량이 감소하여 조직속의 산소가 정상치 이하로 감소한 상태
